Lizard,Lat_UTM,Long_UTM
YWY,363775.043,6244257.622
YWY,363762.2053,6244257.438
YWY,363777.6105,6244257.659
YWY,363777.6105,6244257.659
YWY,363769.9521,6244254.468
YWY,363762.2495,6244254.357
YWY,363775.0872,6244254.542
YWY,363777.699,6244251.498
YWY,363775.1315,6244251.462
YWY,363772.5639,6244251.425
YWY,363775.1315,6244251.462
YWY,363777.699,6244251.498
YWY,363777.699,6244251.498
YWY,363780.3108,6244248.455
YWY,363762.3823,6244245.117
YWY,363785.4901,6244245.448
YWY,363798.3278,6244245.633
YWY,363813.733,6244245.854
YWY,363782.9226,6244245.412
YWY,363785.5343,6244242.368
YWY,363788.1019,6244242.405
YWY,363785.5343,6244242.368
YWY,363793.237,6244242.479
YWY,363772.7409,6244239.103
YWY,363783.0111,6244239.251
YWY,363749.6331,6244238.772
YWY,363788.1904,6244236.244
YWY,363803.7725,6244224.145
